z_bin_lo,z_bin_hi,r_bin_lo,r_bin_hi,count
97.06666667,109.20000000,13.68333333,20.52500000,0
97.06666667,109.20000000,20.52500000,27.36666667,0
97.06666667,109.20000000,27.36666667,34.20833333,0
97.06666667,109.20000000,34.20833333,41.05000000,0
97.06666667,109.20000000,41.05000000,47.89166667,0
97.06666667,109.20000000,47.89166667,54.73333333,0
97.06666667,109.20000000,54.73333333,61.57500000,0
97.06666667,109.20000000,61.57500000,68.41666667,0
97.06666667,109.20000000,68.41666667,75.25833333,0
97.06666667,109.20000000,75.25833333,82.10000000,0
109.20000000,121.33333333,0.00000000,6.84166667,0
109.20000000,121.33333333,6.84166667,13.68333333,0
109.20000000,121.33333333,13.68333333,20.52500000,0
109.20000000,121.33333333,20.52500000,27.36666667,0
109.20000000,121.33333333,27.36666667,34.20833333,0
109.20000000,121.33333333,34.20833333,41.05000000,0
109.20000000,121.33333333,41.05000000,47.89166667,0
109.20000000,121.33333333,47.89166667,54.73333333,0
109.20000000,121.33333333,54.73333333,61.57500000,0
109.20000000,121.33333333,61.57500000,68.41666667,0
109.20000000,121.33333333,68.41666667,75.25833333,0
109.20000000,121.33333333,75.25833333,82.10000000,0
121.33333333,133.46666667,0.00000000,6.84166667,0
121.33333333,133.46666667,6.84166667,13.68333333,0
121.33333333,133.46666667,13.68333333,20.52500000,0
121.33333333,133.46666667,20.52500000,27.36666667,0
121.33333333,133.46666667,27.36666667,34.20833333,0
121.33333333,133.46666667,34.20833333,41.05000000,0
121.33333333,133.46666667,41.05000000,47.89166667,0
121.33333333,133.46666667,47.89166667,54.73333333,0
121.33333333,133.46666667,54.73333333,61.57500000,0
121.33333333,133.46666667,61.57500000,68.41666667,0
121.33333333,133.46666667,68.41666667,75.25833333,0
121.33333333,133.46666667,75.25833333,82.10000000,0
133.46666667,145.60000000,0.00000000,6.84166667,0
133.46666667,145.60000000,6.84166667,13.68333333,0
133.46666667,145.60000000,13.68333333,20.52500000,0
133.46666667,145.60000000,20.52500000,27.36666667,0
133.46666667,145.60000000,27.36666667,34.20833333,0
133.46666667,145.60000000,34.20833333,41.05000000,0
133.46666667,145.60000000,41.05000000,47.89166667,0
133.46666667,145.60000000,47.89166667,54.73333333,0
133.46666667,145.60000000,54.73333333,61.57500000,0
133.46666667,145.60000000,61.57500000,68.41666667,0
133.46666667,145.60000000,68.41666667,75.25833333,0
133.46666667,145.60000000,75.25833333,82.10000000,0
