bin_lo,bin_hi,count
0.00000000,7.28000000,0
7.28000000,14.56000000,0
14.56000000,21.84000000,0
21.84000000,29.12000000,0
29.12000000,36.40000000,0
36.40000000,43.68000000,0
43.68000000,50.96000000,0
50.96000000,58.24000000,0
58.24000000,65.52000000,0
65.52000000,72.80000000,0
72.80000000,80.08000000,0
80.08000000,87.36000000,0
87.36000000,94.64000000,0
94.64000000,101.92000000,283909
101.92000000,109.20000000,406817
109.20000000,116.48000000,0
116.48000000,123.76000000,0
123.76000000,131.04000000,0
131.04000000,138.32000000,0
138.32000000,145.60000000,0
